nrbits,toffoli_desc_conf,nr_qubits_output,depth_input,depth_output,process_time
4,1276281153,19,37,237,10.073198000000048
4,10131012211115,21,37,167,5.044206000000031
4,241155683,20,37,241,9.257765999999947
4,559101311108,21,37,165,6.263743999999974
4,812913141236,23,37,198,5.976008999999976
4,13632411116,19,37,231,8.850309000000038
4,12698146613,18,37,210,7.158651999999961
4,61211413254,22,37,200,7.442424999999957
4,5101094353,18,37,160,4.76719700000001
4,8133445137,18,37,208,7.067019000000073
4,564910838,22,37,207,7.49397799999997
4,962711525,21,37,214,7.113126999999963
4,1111592827,19,37,228,9.107602999999926
4,661211114129,21,37,239,11.10798299999999
4,11810364123,17,37,211,7.57051899999999
4,814128144127,25,37,204,7.369913999999994
4,1141414131082,19,37,173,5.376004999999964
4,436923126,22,37,196,6.7048659999999245
4,12891314283,17,37,192,6.080558999999994
4,13755814710,16,37,215,7.615741000000071
4,129371081014,25,37,181,5.28430000000003
4,235910926,17,37,194,5.112572
4,41421112846,15,37,223,7.331111999999962
5,771314987669,23,46,329,17.92303400000003
5,141071010741176,24,46,253,10.249911999999995
5,1196146121314410,22,46,233,8.887952000000041
5,751293431286,20,46,301,12.838204000000019
5,41010313479114,19,46,231,7.801628999999934
5,10514141010118714,25,46,222,8.158539000000019
5,976632124135,26,46,276,14.063765999999987
5,12211141310131486,21,46,233,8.66645399999993
5,955611281184,23,46,320,16.13061199999993
5,343314129457,23,46,241,8.940351999999962
5,421171012127812,22,46,292,12.548287999999957
5,85714914491111,24,46,259,13.42474100000004
5,861051014106135,17,46,228,10.085807999999929
5,913108142148133,21,46,230,7.0640469999999596
5,3106821133913,21,46,232,8.929695000000038
5,24498982128,24,46,280,9.60700399999996
5,55117128101257,20,46,288,15.096218000000022
5,1086101172697,20,46,269,12.738129000000072
5,12265106910310,21,46,186,6.584257999999977
5,139286946136,23,46,255,10.869245999999976
5,1071412810614147,20,46,207,8.34582899999998
5,1022211121314414,26,46,197,6.749794999999949
5,212510611431112,19,46,255,10.621451999999977
5,466211694133,25,46,281,12.427367000000004
5,410672101431410,21,46,213,6.915636999999947
5,14107391252610,27,46,241,10.601015999999959
5,14736814141269,22,46,251,10.839634000000046
5,71359106813149,21,46,250,9.345895000000041
5,1049137813229,21,46,223,7.803518000000054
5,7122477121347,27,46,274,13.302086000000031
5,3212141410138123,27,46,233,6.621970000000033
5,611659922138,20,46,270,13.574474999999893
5,913510121314873,26,46,227,9.13858700000003
5,34111371314121412,24,46,256,9.235830000000078
5,3797111010787,23,46,255,11.120029999999815
5,68141484107214,27,46,262,11.420623999999862
5,539126944149,21,46,210,8.637772999999925
5,12141243813111013,23,46,226,8.178844000000026
5,106131314391273,23,46,217,8.320382999999993
5,491411210661211,20,46,241,8.943378999999823
5,761441344688,22,46,318,16.23346300000003
5,66941314121374,22,46,260,10.470475999999962
5,4213101051013811,22,46,195,6.6051219999999375
5,103864410476,25,46,266,12.05306799999994
5,41012131351271110,23,46,222,7.652448999999933
5,1258101441413212,25,46,245,7.93416400000001
5,111451031147134,23,46,271,12.533194999999978
5,613131071142412,19,46,258,10.39104199999997
5,101198131151227,19,46,266,12.529560000000174
5,411412313311115,20,46,274,12.563741000000164
5,31177105610113,26,46,270,12.314581999999973
5,3913109747135,22,46,261,9.408048999999892
5,31312779105410,24,46,214,8.094863999999916
5,143111112293135,22,46,221,8.761981999999989
5,7651231212654,18,46,271,13.345252999999957
5,10913312107855,23,46,226,8.750880999999936
5,1112911537952,27,46,260,14.511225999999851
5,13521074144814,24,46,238,10.013711999999941
5,531164714131212,28,46,270,13.162005000000136
5,71191091499134,20,46,216,8.238366999999926
5,410129141211848,31,46,276,10.930159999999887
5,13341242313513,18,46,227,7.299095000000079
5,34124514131146,23,46,243,9.930004000000054
5,741041431112128,17,46,274,10.595557000000099
5,97862773912,21,46,348,15.938906000000088
5,11448411912143,22,46,267,11.139114000000063
5,74999148254,21,46,261,10.183025999999927
5,13921264612109,32,46,242,8.157866999999897
5,73141414101212814,21,46,221,7.634862999999996
5,621214714661012,19,46,260,10.431988000000047
5,1471371191012117,23,46,257,11.160389000000123
5,812342311948,20,46,292,11.939975000000004
5,14614713113664,20,46,283,12.886894999999868
5,449510142111213,26,46,245,8.203779000000168
5,453121312913127,23,46,219,8.743330000000014
5,84101346981212,22,46,255,10.232610999999906
5,61113396514811,18,46,311,15.482009999999946
5,21231341310425,26,46,208,7.485194999999976
5,836836131179,26,46,296,17.047644999999875
5,6117771093123,31,46,321,16.634647000000086
5,13111321241310102,21,46,213,6.577567000000045
5,7113636514213,21,46,268,12.787162999999964
5,612464132233,20,46,257,9.815683000000035
